optimization_rmse,prediction_rmse
2.400869149496228,3.8482251302036294
2.3072846671222336,2.2858836100313455
2.562304770255307,4.8140634984879584
2.206549764113878,4.969290709122302
2.2455190036187647,2.106821690799013
2.794965126918384,3.6063402014689103
2.618470356932769,4.144077147434863
1.8519261704068062,1.500410267015159
2.6693883394510975,2.019313840772499
2.1087467609713926,2.4540440293869548
2.352961210782447,1.4767920136054828
1.5685826166721077,2.9993954398671043
1.590767173730021,1.5053570420910116
2.751703442026988,2.921360110190517
2.5213037900909354,5.015407294713438
2.418311408876903,1.8371716920276615
2.0606038237003164,1.1324282177042808
2.6559491479558957,2.9523351399729276
2.3200307480320608,1.6998965105320811
2.0253248823199526,3.6167649758296387
2.3932630451961376,5.144811098202869
1.8883287620380254,4.496861380875136
2.076386059517629,1.332794480415347
2.772767597694095,1.8886200085993732
3.088371991421224,2.7661110876376034
2.7806059120548055,2.290411605658434
2.3580901801477796,1.8302639628770367
3.3379398668624485,2.029843332902149
2.441091394652895,3.1170701101227603
2.556556276170297,2.069275922921256
2.0026825059380706,1.5980541524402552
2.5623433252598145,3.5690473370483238
2.4904451208481633,1.4004460077561416
2.1928371428527824,2.312817604643581
2.704273043129224,1.5931370183549505
2.650447572258764,1.9637457536843914
1.763186761429216,2.4758540809450698
2.218863508243145,2.7568255534792967
3.4368818454571093,4.27108376676484
2.1761349848853295,2.5164846891388284
1.9556026474087322,2.8070139055669903
2.861868713727221,1.8570145418543094
3.0724955979920088,5.550517730459284
1.7308032487030116,6.512455070540513
2.919670567059735,3.739235903783932
2.5608814514854994,3.8275523427043376
2.5757006197733077,1.9430183732747581
2.185755306176782,2.910412955913139
2.0530744477798417,3.6289483058368206
2.137275126328905,3.2638967962079484
3.0738254560686817,2.638171315886955
2.4883117966185315,0.7797321814179184
3.0860014954174404,3.09805230460335
2.565639705091566,6.100111140115466
3.1317275703587115,1.8352888574070618
1.9988451365020794,2.673445263354841
2.0779982593665505,1.1712123693750873
2.8876775038193796,2.0293231759365082
1.53405146790781,3.1549911005259785
2.1703561983912825,1.4715731207507028
2.3977188930141136,0.8638210120638224
2.347416041417264,3.062427868703001
1.7955802865371338,5.852250027073983
2.730313137060854,1.0025716425743927
2.627709543141299,2.4858475073204236
2.2616958779352174,2.1505228566095593
2.5876922162025644,2.1104930726420714
2.663699105986215,2.750499170373516
2.2184108808529945,4.727984341835754
2.3100267162877066,2.2797676870661956
2.332631487553212,1.6496609116520122
2.390039034126795,2.739515097304144
1.9679870888216549,0.9489508792258784
2.3692862462596787,4.052044984705931
2.074215619543586,4.572662212175197
2.0289834206559814,1.4741200458011703
2.626953333840171,2.1719371418416786
2.3329109095034064,3.202731843411106
2.347424947096404,3.9765813212465213
3.5986454301624127,1.323369750810842
3.8022256127292233,7.974125200981825
3.560157835295597,3.0809853738429727
2.032081184947467,1.5839257107662823
2.4066207983448042,2.9822804889892556
2.3829692540695,1.6435977034636968
2.107478512044296,3.9934564261239465
2.404591940162862,1.1955599518629167
2.3647762303318345,3.4609129756460937
2.192380804923387,2.350892821686582
2.5566984918069835,2.781907361629975
2.7821715888227194,6.652105816543412
2.377570750614644,1.632092798456164
1.9988091327420054,1.6305306385795473
1.8395253357370192,2.398554565936963
2.220694764952984,1.1746952644197028
2.422537479718202,2.34702165462616
2.372377047819726,2.007767174814239
2.853140496640158,2.2721488999107526
2.704628209535832,1.7095844153844657
2.446334274558791,2.8885319595689376
1.9105595305592284,0.5681027138815501
2.7035620446774726,3.2204069523881853
2.0055361046884155,4.789829203538699
2.719013883193036,1.9438410165905693
2.3209649840036652,2.718546468035807
2.4738272084794595,1.6968354489483526
2.968876187744965,2.8728486937114273
2.6364292569129972,2.767343168159079
3.082670616305853,4.206978544333243
2.725948560477368,2.328059922665147
2.414532946911866,2.8330292776415624
2.263842584156676,1.5037354937591945
2.265989865210357,4.603949949914335
2.339857580445294,3.002118789439326
2.381639663089187,2.3418391065321225
2.1476871815072665,3.7705830669989937
2.6617416586347886,1.6941459142574042
3.4179117262564485,5.723322816503291
2.6895128496666696,6.054937276723764
2.6216779104397965,5.902416388849839
2.7670490624220725,5.361340344558971
3.1266248634550173,3.6378302642010043
2.717865042157707,5.865925890954468
3.85290505926512,5.611849099221123
2.5150899936117,2.036979869751294
3.4651041059817493,4.291423260472065
3.1505031089017077,1.6613001645511272
2.2716458748183515,3.580683103644082
2.5822929209556382,3.0261136860147104
2.5390429390446774,1.828627655534862
2.321783714541784,2.1812481515909137
2.690121897014913,2.156249676996449
2.875581986130069,3.584027082976703
1.9854154007345788,7.190981325247421
2.4354325262776144,2.352976112429947
1.6666322081842155,1.718503585724897
2.770850853806698,2.1210606913121883
2.7349482932313336,1.8962982973663407
3.471226592591703,3.9604615851667564
2.7937774363166707,3.9963771243335375
2.3900736113811925,0.6576666713878203
2.255716477426998,1.3349317838430148
1.9848019603866738,2.5636101170331327
1.928445849967901,0.8613484064551125
1.8826865478070018,2.6365897132527314
2.0344198900455264,2.782545258540184
1.5969880443288162,3.2316571010946746
2.0870553088406507,1.209935299874918
2.2057512965767603,0.49331487334887797
1.5993256897925674,3.2812154810588505
3.070883064716384,3.1778258506712938
2.323181249372168,2.0929212399858175
1.4888235052555392,4.74047271938526
2.1716575846172512,3.6026349601165255
2.1905109045027675,2.6004986331252775
3.540451841462537,4.665464331506847
2.3571914028936414,2.0676518032354307
5.138312287560279,7.95760334734481
6.820085237713987,4.168416693923125
5.66592726551838,3.492449246622656
5.191359432902163,5.213758834575859
5.603081353992743,3.352203111766056
6.471840032893154,1.8754357709656189
7.579442603376955,7.248449468088886
5.145485109754579,1.711660525011632
9.165244382167227,6.773898436624046
7.724508683290567,5.59531974334197
8.516672325103025,5.814875470208892
6.877970708994007,4.040188134074435
4.6551355233331435,4.709727475716112
8.72887906247484,2.4157223286334513
9.026545732234645,5.87946255209407
7.199406071489945,2.0870790371125922
6.968214228192047,5.0842332630221305
8.810050123967947,2.43441731222096
7.326489723375394,1.9577972486712911
6.367011335952988,6.8610754917010075
7.381470046934164,2.2127710363140367
6.188675133424231,1.4008031634916136
7.973311499101275,2.9547434449203065
5.828700408718672,8.695952112669357
13.207614706422914,9.30828511006922
15.643822648323432,6.378606363842643
15.995627429172663,2.8785267058879884
17.031212021436826,6.729770082115542
15.29620379740131,1.9515551686819965
14.399525020124816,6.607840427735162
15.764688963953077,10.7507598822653
14.762434176261687,7.545535934650084
16.859651179158625,9.804304927253655
17.681244967917163,7.04570329568241
10.170714149548846,5.057196407894063
12.999540928787683,8.154892673825032
12.275563111085633,5.220926349672019
13.564923919226375,3.109453712358998
11.551634479888705,5.067287353562743
10.109696024084055,6.530643561021788
13.410472216088278,3.12173014838632
11.067354303002778,7.785462648673981
14.934827643748386,7.93127683090354
12.150965125310702,3.7813453838907103
12.855905676713668,7.774975065174537
12.611050192899596,9.812825542702958
10.126263233627837,1.164717901956668
13.475786276060747,4.562232369186957
11.791043644013477,4.3514109792096125
14.315626692286585,6.393401560889437
13.294578559752141,7.18714406805642
12.4361092998149,5.954188574197645
10.70844317781036,5.480181679016851
14.064673528200208,7.090333976437902
11.312804064488509,6.788561579973084
13.051132612050202,3.599005849437933
11.798534751096708,4.616581860804949
12.88022612447919,4.872365030721147
10.751981081100348,2.4523006930773747
11.051687102392627,9.592531153970194
12.351565626796178,4.808777738697911
13.573709524873818,6.4459815514934995
12.342834004342656,3.06191589905092
12.23718416346647,4.695554214833995
15.361609246012527,5.398085195381481
11.050885829442775,6.177734068058723
12.960377309745905,3.8638913286444114
13.60819613476076,6.443729179432578
14.679811739915893,9.245869521590222
11.366175736137992,1.518562257038678
12.819462230295688,4.366542735836616
9.191506183621348,5.379868074192256
15.14580685794234,6.106948414853676
10.897309006714659,10.049429238419274
14.132498618207785,7.756543610988025
12.74053582199173,6.6200487870078835
13.093392429604936,7.82249618455668
13.116614084829752,5.523179806847989
11.09249012190961,6.561671234566954
11.607651743910978,6.437845074469627
12.617238162483105,7.006600743472085
13.416385662487913,4.460543299847922
13.591362813082224,6.68795255643775
12.156350631748237,8.406469641691373
11.898182333259143,7.881890990352847
13.043026912796194,4.235734997104971
12.614248637424602,10.586768232262544
11.84275656435234,14.230561494107123
10.162963314418432,6.411734256944686
10.90566007855507,4.611443527923387
10.130326623626397,8.079953966235237
13.652028542545183,8.178133707833673
13.894248215095537,7.29147926725036
12.741993575730463,6.461505110635966
11.266797548229029,9.15778445216704
12.577848397549209,8.793476989656908
14.050076645866023,3.319455584714591
16.105572744332296,5.478595155948424
12.135828206675404,3.7546995407546757
15.640854058284177,5.7798061025597125
15.310468489685874,6.593956534679249
15.182422124934595,8.299615180653236
13.888483641005042,7.940123890059516
10.942878234489415,5.35747982236813
17.004736464455615,5.98735852905716
12.182999903474974,7.905720042333839
16.901889952890876,9.477697894425024
13.22117088738196,10.4611405726595
16.54386645420267,7.5324984145604565
13.353731480381244,6.846047601629287
15.149477369261211,3.9804745328651787
16.87474789067829,4.6617865735047905
14.699016922641098,4.389863209043393
15.230833293236387,8.479206656708962
