actual,predicted
190.13,190.13
190.1,190.1
190.16,190.16
190.2,190.2
190.1899,190.1899
190.195,190.195
190.2331,190.2331
190.22,190.22
190.27,190.27
190.3201,190.3201
190.34,190.34
190.36,190.36
190.36,190.36
190.2401,190.2401
190.331,190.331
190.355,190.355
190.395,190.395
190.395,190.395
190.41,190.41
190.469,190.469
190.46,190.46
190.46,190.46
190.47,190.47
190.465,190.465
190.515,190.515
190.56,190.56
190.53,190.53
190.56,190.56
190.56,190.56
190.48,190.48
190.53,190.53
190.545,190.545
190.53,190.53
190.64,190.64
190.6164,190.6164
190.627,190.627
190.63,190.63
190.63,190.63
190.6201,190.6201
190.55,190.55
190.555,190.555
190.505,190.505
190.49,190.49
190.57,190.57
190.64,190.64
190.65,190.65
190.62,190.62
190.67,190.67
190.645,190.645
190.67,190.67
190.665,190.665
190.48,190.48
190.5205,190.5205
190.585,190.585
190.59,190.59
190.585,190.585
190.635,190.635
190.74,190.74
190.7701,190.7701
190.61,190.61
190.67,190.67
190.65,190.65
190.5783,190.5783
190.52,190.52
190.41,190.41
190.49,190.49
190.545,190.545
190.5699,190.5699
190.53,190.53
190.595,190.595
190.61,190.61
190.755,190.755
190.7,190.7
190.6184,190.6184
190.58,190.58
190.5678,190.5678
190.62,190.62
190.6198,190.6198
190.65,190.65
190.65,190.65
190.58,190.58
190.645,190.645
190.66,190.66
190.69,190.69
190.661,190.661
190.61,190.61
190.6,190.6
190.61,190.61
190.555,190.555
190.519,190.519
190.3913,190.3913
190.41,190.41
190.36,190.36
190.39,190.39
190.44,190.44
190.4277,190.4277
190.47,190.47
190.47,190.47
190.48,190.48
190.52,190.52
190.5,190.5
190.56,190.56
190.7,190.7
190.755,190.755
190.7899,190.7899
190.73,190.73
190.69,190.69
190.62,190.62
190.62,190.62
190.5965,190.5965
190.5199,190.5199
190.5,190.5
190.4375,190.4375
190.4799,190.4799
190.5685,190.5685
190.64,190.64
190.675,190.675
190.745,190.745
190.76,190.76
190.74,190.74
