optimization_rmse,prediction_rmse
1.5920351418078336,2.4509637564113205
2.247576272875791,1.0148283317930495
2.337409532331978,1.2234897674355762
1.6912799536544338,2.5575815478049675
2.3510058587841813,1.7734627778462286
2.3723740347547313,1.7452853462452858
2.3118852937476864,0.6981326702659075
2.628027470629285,1.2112630722974627
2.7881518509660905,1.799547671879893
2.9889713573996697,4.367991881842001
4.657187229862456,3.2032144425116957
1.5347648720874534,4.870368455295044
2.353196811971184,2.4552076244515697
2.6986687679552714,1.6693138755008654
2.930504682927318,1.9646135328314553
3.6738547098587513,4.902257975585356
1.5152037497843462,3.105106091618665
2.665464063151961,2.974282876707196
3.696442756291164,1.8345830194656978
2.9316916445130734,3.8565463265104984
2.9767077217383715,0.9100459730524313
3.9865658240244626,1.5886256762479323
2.7697597304101516,3.02200805355742
2.915957534197694,2.876250737322647
3.273649820580099,2.041764632706136
2.9199006209967964,0.9567297141085981
3.4029187594272807,4.104093251808517
3.7897296720985727,1.6371865915654604
1.9518361369428063,4.445786211497332
1.8795609296094382,1.911302584014907
3.15502433461049,3.7801308596649714
2.965364661128292,0.8504756777650573
4.283380781748981,4.24242668406309
4.829217459366928,5.7556638834968945
5.176736398465021,1.7075570566324316
3.7371892479073696,6.953246130569021
2.63444436396438,4.79541331535311
2.9517872228389526,2.5592988617627106
3.6807508317780977,1.803613184607235
3.9595564508758363,2.817499987245263
3.1670213544957497,1.590681024073799
3.8092589283213676,1.9903326238638606
2.7744318368170466,4.062889037514275
3.4912259438912097,7.139576557884944
2.877982795988111,5.141186102816692
4.480142034936874,2.455809174881498
3.6794482591709534,2.0208175477861077
4.242191515271353,5.40038172144459
3.012655333125015,1.385114945440846
4.361326048753126,2.1890951385781574
4.311667476415057,2.2624189487774102
3.8647268280817264,4.894007139836082
3.302261737495155,2.8348645877939114
2.336335056348264,3.186264532741977
4.480952877434814,1.5826950403892168
4.149775518410827,2.4121918727668317
5.494910520102159,3.4703094125660336
3.0024672101691143,0.8777766996311782
4.314116609955021,5.48590139256986
3.7200016053886613,1.988514716439436
2.2480597984997344,3.3355453757972953
2.751696572711073,5.0031626504736115
3.6801328107668354,1.8279184733413187
2.2824094291039096,2.707420206204354
3.9153011335115973,4.815309677993939
4.111360403488074,3.1915401248935478
2.6594619004596005,0.792525534060063
1.6490666344268075,4.38552892346197
3.2769815748636106,2.1460257884619596
2.6960903664570703,1.705410246909364
4.697112320384636,1.6371720922439652
10.196101057468521,2.9578876113577617
8.914335135295504,4.933289758660702
8.656947540266154,5.35563541690059
10.103505660570962,3.6590920180054454
10.212570290338215,2.7987618927634648
10.945788479949611,0.8745937270575587
8.541926455727893,1.382216749838145
8.949611670891574,4.911798072093325
10.56424801559428,6.96842105739016
16.48609360495464,5.10503280780094
15.68444761593363,10.129177373057985
19.180115977933255,7.64882653479499
16.959165392320386,3.905207332998754
15.389597132589776,6.115052877448061
18.626130996676235,6.400266959714205
17.516424605889792,9.121339273123963
17.587241136694832,12.903608612662826
20.48545461195821,5.823903100864063
18.374980444856483,10.522112172771346
16.782555603477928,7.719273996694498
10.584478842388215,2.1188562936540873
12.964652042939111,4.000013728509821
12.525212086197337,13.073125772791649
13.13124004514117,7.25850022424092
11.876347393033152,8.457915159147596
15.362849722570246,6.541035023809013
14.542995103724973,6.880518769947443
15.002195416238159,8.62830308577024
12.190133456674697,9.842481659951922
16.167178732857217,1.8432334895592815
18.096147413252524,5.900868348587484
10.716637870289675,3.012874012970826
12.86612672536768,4.569294954705165
14.726175481963649,4.770232823972904
11.490929914252726,5.831197267644223
14.448780852122324,10.208557469728577
10.807418783847952,1.753592163375599
14.59164051111032,3.278415427752688
11.997487484894178,9.621059279639386
14.567256898025017,4.115642445347345
17.501433978210404,5.338253941193363
15.204101846930543,9.022515991674549
12.828104779684962,6.401160357565673
14.908399406449398,7.121665833911259
15.158289801145548,3.8024892048544103
18.365763112233115,6.354724864222578
16.881532927752307,6.174424475137122
19.67671247485775,12.837835012522858
15.3406353215774,7.777552456440321
